modulation,rrc,fading,fec,sincronizacion,doppler_residual_hz,snr_db,bits_evaluados,errores_bit,ber,ancho_banda_hz,ax25_frames_validos
BPSK,False,True,False,Costas+Gardner,0.1,0,18775,447,0.02380825565912117,66112.5,0
BPSK,False,True,False,Costas+Gardner,0.1,2,18775,145,0.007723035952063915,66112.5,0
BPSK,False,True,False,Costas+Gardner,0.1,4,18775,45,0.002396804260985353,66112.5,0
BPSK,True,True,False,Costas+Gardner,0.1,-10,18776,9837,0.5239135066041756,11175.0,0
BPSK,True,True,False,Costas+Gardner,0.1,-8,18776,11092,0.5907541542394547,11175.0,0
BPSK,True,True,False,Costas+Gardner,0.1,-6,18776,16410,0.873988069876438,11175.0,0
BPSK,True,True,False,Costas+Gardner,0.1,-4,18776,258,0.01374094588836813,11175.0,0
BPSK,True,True,False,Costas+Gardner,0.1,-2,18776,72,0.0038346825734980826,11175.0,0
BPSK,True,True,False,Costas+Gardner,0.1,0,18776,14,0.0007456327226246272,11175.0,0
BPSK,True,True,False,Costas+Gardner,0.1,2,18776,4,0.00021303792074989347,11175.0,0
BPSK,True,True,False,Costas+Gardner,0.1,4,18776,1,5.325948018747337e-05,11175.0,0
BPSK,False,False,False,Costas+Gardner,0.2,-10,18776,9330,0.49691095014912656,66112.5,0
BPSK,False,False,False,Costas+Gardner,0.2,-8,18776,9354,0.4981891776736259,66112.5,0
BPSK,False,False,False,Costas+Gardner,0.2,-6,18775,2758,0.14689747003994674,66112.5,0
BPSK,False,False,False,Costas+Gardner,0.2,-4,18776,9462,0.503941201533873,66112.5,0
BPSK,False,False,False,Costas+Gardner,0.2,-2,18775,835,0.04447403462050599,66112.5,0
BPSK,False,False,False,Costas+Gardner,0.2,0,18775,317,0.01688415446071904,66112.5,0
BPSK,False,False,False,Costas+Gardner,0.2,2,18775,74,0.003941411451398136,66112.5,0
BPSK,False,False,False,Costas+Gardner,0.2,4,18775,9,0.0004793608521970706,66112.5,0
BPSK,True,False,False,Costas+Gardner,0.2,-10,18776,7612,0.4054111631870473,11175.0,0
BPSK,True,False,False,Costas+Gardner,0.2,-8,18776,9379,0.49952066467831274,11175.0,0
BPSK,True,False,False,Costas+Gardner,0.2,-6,18776,453,0.024126544524925436,11175.0,0
BPSK,True,False,False,Costas+Gardner,0.2,-4,18776,117,0.006231359181934384,11175.0,0
BPSK,True,False,False,Costas+Gardner,0.2,-2,18776,16,0.0008521516829995739,11175.0,0
BPSK,True,False,False,Costas+Gardner,0.2,0,18776,0,0.0,11175.0,0
BPSK,True,False,False,Costas+Gardner,0.2,2,18776,0,0.0,11175.0,0
BPSK,True,False,False,Costas+Gardner,0.2,4,18776,0,0.0,11175.0,0
BPSK,False,True,False,Costas+Gardner,0.2,-10,18776,9381,0.4996271836386877,66112.5,0
BPSK,False,True,False,Costas+Gardner,0.2,-8,18775,9678,0.5154727030625832,66112.5,0
BPSK,False,True,False,Costas+Gardner,0.2,-6,18775,10267,0.546844207723036,66112.5,0
BPSK,False,True,False,Costas+Gardner,0.2,-4,18775,6618,0.3524900133155792,66112.5,0
BPSK,False,True,False,Costas+Gardner,0.2,-2,18775,1001,0.053315579227696405,66112.5,0
BPSK,False,True,False,Costas+Gardner,0.2,0,18775,441,0.02348868175765646,66112.5,0
