observation_id,frame_number,telemetry_hex,timestamp,byte_count
13742370,0,SIN_TELEMETRIA,,0
13742383,0,SIN_TELEMETRIA,,0
13742120,0,SIN_TELEMETRIA,,0
13740868,0,SIN_TELEMETRIA,,0
13734449,0,SIN_TELEMETRIA,,0
13737189,0,SIN_TELEMETRIA,,0
13736949,0,SIN_TELEMETRIA,,0
13734345,0,SIN_TELEMETRIA,,0
13711794,0,SIN_TELEMETRIA,,0
13715408,0,SIN_TELEMETRIA,,0
13701709,0,SIN_TELEMETRIA,,0
13701762,0,SIN_TELEMETRIA,,0
13697890,0,SIN_TELEMETRIA,,0
13697503,0,SIN_TELEMETRIA,,0
13690803,0,SIN_TELEMETRIA,,0
13685643,0,SIN_TELEMETRIA,,0
13689948,0,SIN_TELEMETRIA,,0
13687627,0,SIN_TELEMETRIA,,0
13685683,0,SIN_TELEMETRIA,,0
13681483,0,SIN_TELEMETRIA,,0
13678754,0,SIN_TELEMETRIA,,0
13673427,0,SIN_TELEMETRIA,,0
13677554,0,SIN_TELEMETRIA,,0
13668613,0,SIN_TELEMETRIA,,0
13657268,0,SIN_TELEMETRIA,,0
13657335,0,SIN_TELEMETRIA,,0
13658132,0,SIN_TELEMETRIA,,0
13629436,0,SIN_TELEMETRIA,,0
13629370,0,SIN_TELEMETRIA,,0
13616318,0,SIN_TELEMETRIA,,0
13615857,0,SIN_TELEMETRIA,,0
13608361,0,SIN_TELEMETRIA,,0
13596881,0,SIN_TELEMETRIA,,0
13590516,0,SIN_TELEMETRIA,,0
13576503,0,SIN_TELEMETRIA,,0
13566067,0,SIN_TELEMETRIA,,0
13566298,0,SIN_TELEMETRIA,,0
13556583,0,SIN_TELEMETRIA,,0
13556332,0,SIN_TELEMETRIA,,0
13555387,0,SIN_TELEMETRIA,,0
13546441,0,SIN_TELEMETRIA,,0
13550494,0,SIN_TELEMETRIA,,0
13546422,0,SIN_TELEMETRIA,,0
13533264,0,SIN_TELEMETRIA,,0
13534997,0,SIN_TELEMETRIA,,0
13534980,0,SIN_TELEMETRIA,,0
13531141,0,SIN_TELEMETRIA,,0
13519456,0,SIN_TELEMETRIA,,0
13506454,0,SIN_TELEMETRIA,,0
