sat_id,norad_cat_id,transmitter,app_source,decoded,frame,observer,timestamp,version,observation_id,station_id,associated_satellites
IFDT-2351-8184-5400-1710,39090,,network,,C0B291579362203D556951E12413B618771E148527C8F13766D4CA3B50711DAE09CB57A9716C198C,EA4TA-IN80ck,2026-02-14T18:05:49Z,,13399382,4595,[]
IFDT-2351-8184-5400-1710,39090,,network,,BDAD28FC8984E46E0D4571233341E0474DB0DE3B,EA4TA-IN80ck,2026-02-14T04:16:14Z,,13394926,4595,[]
IFDT-2351-8184-5400-1710,39090,,network,,008B7E76B577C7B6,EA4TA-IN80ck,2026-02-14T04:14:46Z,,13394926,4595,[]
IFDT-2351-8184-5400-1710,39090,,network,,A002A711C0,EA4TA-IN80ck,2026-02-14T04:13:46Z,,13394926,4595,[]
IFDT-2351-8184-5400-1710,39090,,sids,,91098C03250E0806410B4FD082C66CCE333A5E18C839CE1ECB12F0B2DAEE101D6BC9C0C843,M7RED-KO96ce,2026-02-06T14:27:50Z,1.0,,,[]
IFDT-2351-8184-5400-1710,39090,,network,,20139B34D06C52E1C07220E30EDD402E1C1CDA875B,EA4TA-2-IN80ck,2026-02-05T16:52:51Z,,13334088,4597,[]
IFDT-2351-8184-5400-1710,39090,,network,,2040C741754B8088,EA4TA-2-IN80ck,2026-02-04T17:26:36Z,,13334084,4597,[]
IFDT-2351-8184-5400-1710,39090,,network,,B4986DCAF5868BAD27CE1301EA4DDD4E55803428EA11E2DAEE45ADAEA87754,EA4TA-2-IN80ck,2026-02-04T05:24:07Z,,13331313,4597,[]
IFDT-2351-8184-5400-1710,39090,,sids,,69D8D323E624B70D01F76A143A79CB5930B5999832C72A1A6CC73478C3,M7RED-KO96ce,2026-01-27T03:37:27Z,1.0,,,[]
IFDT-2351-8184-5400-1710,39090,,network,,40A4,EA4TA-IN80ck,2026-01-26T17:53:16Z,,13283806,4595,[]
IFDT-2351-8184-5400-1710,39090,,sids,,73AAE2652E8511A684272E6E1A30B74EC6EB1F0F29C9A442B44807D5CD1C2497A5A31E1742E148EC1205AC9E40C85F5BA3725EE0C160F7DE2E8ED3C1A89B9F46,M7RED-KO96ce,2026-01-26T14:32:35Z,1.0,,,[]
IFDT-2351-8184-5400-1710,39090,,sids,,6DEF18A68256404D3CEAB020CE5A91273E7683E7AB47F09C0CAC50AD2EBC,M7RED-KO96ce,2026-01-15T17:41:32Z,1.0,,,[]
IFDT-2351-8184-5400-1710,39090,,sids,,C4AF57A47902BBBAC7804E4D238300E70A,M7RED-KO96ce,2026-01-15T04:09:51Z,1.0,,,[]
IFDT-2351-8184-5400-1710,39090,,sids,,3D3BCD5DB0EB819F5101F0A8DE12E16E86F733B2779F28A52C,M7RED-KO96ce,2026-01-04T04:08:06Z,1.0,,,[]
IFDT-2351-8184-5400-1710,39090,,sids,,364611BBAB647DCF82D5B2ED7DA7CDCAE4694F40F84EC648F38388533187B4BBBB234CA753DAA3F9B5D8657B893A3D75AD0963,VU3IPU-MK82sx,2025-12-23T11:54:50Z,1.0,,,[]
IFDT-2351-8184-5400-1710,39090,,sids,,BD2A563D73516228B2917792359276AAF81C11,M7RED-KO96ce,2025-12-16T23:55:56Z,1.0,,,[]
IFDT-2351-8184-5400-1710,39090,,sids,,91ECF9CEFA81710F6D0083D82627D8CDB917E2E6FE73D41434,M7RED-KO96ce,2025-12-15T16:30:18Z,1.0,,,[]
IFDT-2351-8184-5400-1710,39090,,network,,88D00F3D0D611A88F4AA42150055087D87DC6DA7A62150443D2093D41BEA84B2C395C8EE65D634,HS0ZQS_UHF-OK03fu,2025-12-14T10:37:32Z,,12963522,4259,[]
IFDT-2351-8184-5400-1710,39090,,sids,,ECE19BB9DB21CB9DE654C8E47C86007015,M7RED-KO96ce,2025-12-09T01:26:57Z,1.0,,,[]
IFDT-2351-8184-5400-1710,39090,,network,,808BB978CF727449887571EEA8CDCD69FE3372,BEEGND-4-JO62pm,2025-11-30T17:18:36Z,,12840803,1860,[]
IFDT-2351-8184-5400-1710,39090,,network,,8ABC27E9548362CAB84980D3,BEEGND-4-JO62pm,2025-11-30T17:14:31Z,,12840803,1860,[]
IFDT-2351-8184-5400-1710,39090,,sids,,978CB06C79226FD00A766143683A5D9CAB6B86116A,VU3IPU-MK82sx,2025-11-24T23:40:20Z,1.0,,,[]
IFDT-2351-8184-5400-1710,39090,,sids,,F6F26A8A5AB8A76729B782A0C8E7AC9A45B9B401DE82CA8BCAD2162E93CFFE93FE3C422CB810E8888B291508E56032D87CB8583ADE38,VU3IPU-MK82sx,2025-11-24T23:38:44Z,1.0,,,[]
IFDT-2351-8184-5400-1710,39090,,sids,,CD7457299E4FF6170D42A1286AED1D9F74B71A9F02F929584AC6CE2D8ED941E0958102E6,F1SXJ-JN16xc,2025-11-15T17:54:54Z,1.4.2,,,[]
IFDT-2351-8184-5400-1710,39090,,sids,,659F13ED6D7CF5AE30202741B8C6BD2B3802EA4A764D1E698A6CA63D958532A4F438F3B025AD2C,VU3IPU-MK82sx,2025-11-14T12:03:39Z,1.0,,,[]
IFDT-2351-8184-5400-1710,39090,,network,,72DCB6A7F1D8E6325A6208873A9BBA289F9CD1A86D0E,IK3SVW-1-JN65cq,2025-11-04T17:53:16Z,,12673697,4372,[]
IFDT-2351-8184-5400-1710,39090,,sids,,7548CB824E9605471F70733A28D3603CAFE5C21844D142B192867F2E,VU3IPU-MK82sx,2025-11-03T11:58:51Z,1.0,,,[]
